City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Anda,CN,46.4,125.3167,4.12,56,31,3.62,scattered clouds
315,Seoul,KR,37.5683,126.9778,29.77,43,20,4.61,few clouds
316,Turukhansk,RU,65.8167,87.9833,-20.47,98,100,6.44,overcast clouds
317,Chulym,RU,55.0997,80.9572,28.02,96,100,13.82,light snow
318,Coquimbo,CL,-29.9533,-71.3436,60.53,88,100,3.44,overcast clouds
319,Touros,BR,-5.1989,-35.4608,77.79,80,7,10.45,clear sky
320,Abnub,EG,27.2696,31.1511,53.82,53,98,6.35,overcast clouds
321,Namibe,AO,-15.1961,12.1522,67.8,83,62,3.06,broken clouds
322,Harper,LR,4.375,-7.7169,77.81,84,60,4.52,broken clouds
323,Navoi,UZ,40.0844,65.3792,26.08,86,2,9.22,mist
324,Kruisfontein,ZA,-34.0033,24.7314,61.23,76,100,12.93,overcast clouds
325,Kushmurun,KZ,52.4503,64.6311,28.26,97,100,13.8,snow
326,Staroshcherbinovskaya,RU,46.6311,38.6742,28.65,62,0,5.77,clear sky
327,Gonda,IN,27.1333,81.9333,61.34,59,2,5.57,clear sky
328,Buraydah,SA,26.326,43.975,48.65,35,37,6.69,scattered clouds
329,Dwarka,IN,22.2394,68.9678,74.98,56,7,9.24,clear sky
330,Arlit,NE,18.7369,7.3853,63.12,29,85,8.16,overcast clouds
331,Hue,VN,16.4667,107.6,66.31,82,75,6.91,broken clouds
332,Salamanca,ES,40.8333,-6.0,51.58,83,98,20.54,overcast clouds
333,Hecun,CN,36.5333,114.1111,41.49,19,100,7.52,overcast clouds
334,Vanimo,PG,-2.6741,141.3028,83.17,78,98,3.13,overcast clouds
335,Sorland,NO,67.667,12.6934,35.46,65,100,27.92,overcast clouds
336,Henties Bay,NA,-22.116,14.2845,59.27,96,15,4.18,few clouds
337,Meulaboh,ID,4.1363,96.1285,81.91,73,36,5.17,scattered clouds
338,Manga,BF,11.6636,-1.0731,70.12,21,100,7.87,overcast clouds
339,Lasa,IT,46.6166,10.7002,42.78,64,100,1.97,overcast clouds
340,Auki,SB,-8.7676,160.7034,84.9,70,63,3.71,broken clouds
341,Adrar,MR,20.5022,-10.0711,60.8,25,0,11.72,clear sky
342,Eastlake,US,41.6539,-81.4504,29.32,80,100,4.61,overcast clouds
